price,year,manufacturer,model,condition,fuel,odometer,transmission,paint_color
12950,2013,lexus,ct200h hybrid,good,gas,77000,automatic,black
30488,2020,infiniti,q50,,gas,29366,automatic,black
17989,2018,toyota,camry,,gas,120943,automatic,silver
22602,2021,toyota,corolla,,gas,10883,automatic,red
12977,2011,lexus,rx,,gas,140994,automatic,
12995,2008,ford,f150 xl,,gas,93146,automatic,green
36995,2012,ford,f250 super duty 4x4,,gas,41364,automatic,silver
31995,2017,ford,f350 super duty,,gas,129638,automatic,white
25995,2015,gmc,sierra 2500hd,,gas,126690,automatic,red
29990,2019,mazda,mx-5 miata grand touring,good,gas,5247,other,
34995,2015,ford,f250 super duty 4x4,,gas,84526,automatic,white
31995,2012,ford,f350 super duty,,gas,24692,automatic,white
34995,2017,ford,f250 sd xlt,,gas,138052,automatic,white
16590,2016,jeep,renegade sport suv 4d,good,gas,35835,other,red
16995,2008,chevrolet,express 3500,,gas,158114,automatic,white
25590,2017,jeep,grand cherokee laredo sport,good,other,31315,other,silver
12995,2016,chrysler,200,,gas,72754,automatic,black
27995,2017,nissan,nv2500 hd cargo,,gas,48769,automatic,white
24995,2012,ford,f250 xl super duty,,gas,52377,automatic,grey
28995,2012,ford,econoline commercial,,gas,93923,automatic,white
27995,2012,ford,f350 super duty,,gas,45822,automatic,white
13995,2015,nissan,nv200,,gas,86580,automatic,white
32995,2012,ford,f250 super duty,,gas,37473,automatic,white
4995,2005,ford,freestar ses,,gas,121724,automatic,silver
27995,2012,ford,f250 super duty,,gas,26896,automatic,white
24995,2012,ford,f-250 super duty,,gas,40023,automatic,green
36995,2013,chevrolet,silverado 3500hd,,gas,58056,automatic,white
36995,2017,chevrolet,silverado 2500hd,,gas,43553,automatic,white
39590,2017,chevrolet,camaro ss coupe 2d,good,gas,10496,other,white
26990,2016,ford,f150 regular cab xl pickup,good,gas,14230,other,black
36990,2015,chevrolet,tahoe lt sport utility,good,other,51677,other,black
5500,2001,ford,e350 van,fair,diesel,340000,automatic,white
1500,2011,ford,crown victoria,,gas,123000,automatic,
25500,2015,jaguar,xj,,,71114,automatic,black
3500,1995,honda,civic del sol si,good,gas,215000,manual,red
9900,2013,gmc,terrain,,gas,148285,automatic,black
20900,2017,ford,f150,,gas,147124,automatic,white
29900,2016,jeep,wrangler,,gas,131091,automatic,white
7200,2007,toyota,highlander,excellent,gas,155490,automatic,silver
45300,2018,ram,3500 big horn,excellent,diesel,34125,automatic,black
3500,2006,ford,f-150,,gas,246000,automatic,
17500,2001,ram,3500,good,diesel,178000,manual,white
5500,2010,hyundai,accent,good,gas,114988,automatic,blue
18950,2009,jeep,wrangler,excellent,gas,,automatic,
6900,2008,ford,escape hev,good,hybrid,103550,automatic,white
10900,2010,honda,accord crosstour exl,good,gas,97804,automatic,grey
8900,2014,fiat,500l lounge,good,gas,84778,automatic,red
8900,2003,ford,f250 lariat,good,diesel,247000,automatic,red
2675,1996,toyota,camry,,gas,164719,automatic,green
29995,2016,ford,f-250,,diesel,235000,automatic,
22995,2012,ford,f-350,,diesel,210000,automatic,
21800,2018,ford,f150,,gas,143603,automatic,silver
