price,year,manufacturer,model,condition,cylinders,fuel,odometer,transmission,drive,type,paint_color
3350,2010,chevrolet,hhr,,4 cylinders,,177602,automatic,rwd,SUV,red
199,2017,dodge,charger,,,gas,21737,automatic,,,
5950,2007,mitsubishi,eclipse,good,4 cylinders,gas,72000,manual,fwd,hatchback,black
24590,2017,chevrolet,silverado 1500 regular,good,6 cylinders,gas,40784,other,,pickup,white
3999,2006,honda,accord sedan,,4 cylinders,gas,253076,automatic,fwd,sedan,silver
8900,2013,toyota,prius,excellent,4 cylinders,hybrid,142900,automatic,fwd,wagon,blue
9900,2016,,scion ia,excellent,4 cylinders,gas,21000,automatic,fwd,sedan,blue
34590,2018,ford,f150 super cab xl pickup 4d,good,6 cylinders,gas,20856,other,,pickup,white
39990,2019,nissan,370z nismo coupe 2d,good,6 cylinders,gas,8373,other,rwd,coupe,white
30590,2016,toyota,tacoma double cab sr5,good,,other,30176,other,,pickup,red
11587,2013,ford,escape,,4 cylinders,gas,215046,other,fwd,SUV,black
4000,2002,toyota,camry,like new,4 cylinders,gas,160000,automatic,fwd,sedan,white
2999,2007,ford,taurus,,6 cylinders,gas,162029,automatic,fwd,sedan,blue
10800,2013,toyota,camry,excellent,4 cylinders,hybrid,147000,automatic,fwd,sedan,grey
5500,2008,nissan,altima,like new,4 cylinders,gas,150000,automatic,fwd,sedan,white
34500,2012,bmw,x6,,8 cylinders,gas,53723,automatic,,,
3200,1988,chevrolet,s10 pickup,,,gas,191000,automatic,,,
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,other,,bus,green
19990,2020,nissan,versa,,,gas,6591,automatic,fwd,,black
26990,2020,nissan,frontier,,,gas,323,automatic,rwd,,red
31988,2019,nissan,murano,,,gas,15566,automatic,fwd,,blue
11977,2009,toyota,venza,,,gas,76662,automatic,,,red
35990,2016,dodge,challenger r/t scat pack,good,,other,18955,other,rwd,coupe,black
34990,2018,ram,1500 quad cab big horn,good,6 cylinders,other,22064,other,4wd,pickup,silver
38995,2012,ford,f-250 super duty,,,gas,9205,automatic,4wd,,white
10500,2013,volkswagen,passat tdi sel,excellent,,diesel,91000,automatic,,,black
18250,2016,ford,explorer xlt,excellent,,gas,69000,automatic,,,blue
19900,2017,ford,explorer xlt,excellent,,gas,71000,automatic,,,silver
10500,2014,volkswagen,jetta tdi,excellent,,diesel,52000,automatic,,,grey
3500,1994,ford,f450,fair,8 cylinders,diesel,190000,manual,rwd,truck,white
31990,2016,chevrolet,silverado 1500,,8 cylinders,,107597,automatic,4wd,pickup,white
6800,2005,,blue bird bus,excellent,6 cylinders,diesel,180000,automatic,rwd,bus,yellow
5500,1999,,blue bird bus,excellent,6 cylinders,diesel,220000,automatic,rwd,bus,yellow
36990,2018,toyota,4runner sr5 sport utility,good,6 cylinders,gas,21415,other,4wd,other,silver
23590,2017,nissan,frontier king cab sv,good,,gas,37091,other,fwd,pickup,red
17990,2013,subaru,xv crosstrek premium,good,,gas,57371,other,,hatchback,blue
30990,2017,nissan,frontier crew cab pro-4x,good,6 cylinders,gas,31095,other,4wd,pickup,white
21590,2017,buick,regal premium ii sedan 4d,good,,gas,14934,other,fwd,sedan,white
21990,2019,toyota,camry l sedan 4d,good,,other,5607,other,,sedan,red
16000,2016,dodge,charger,like new,6 cylinders,gas,62000,automatic,rwd,sedan,silver
1500,2005,toyota,solara,good,4 cylinders,gas,222100,automatic,fwd,sedan,silver
4500,2005,acura,mdx,,6 cylinders,gas,279000,automatic,,SUV,blue
33995,2016,chevrolet,silverado 1500,,,gas,115000,automatic,4wd,,
40000,2017,chevrolet,tahoe,like new,8 cylinders,gas,68000,automatic,rwd,SUV,silver
39900,2015,lincoln,,,,gas,51,automatic,,,
10500,2008,infiniti,ex35,good,6 cylinders,gas,122904,automatic,rwd,wagon,black
9500,2014,toyota,prius v hybrid,good,4 cylinders,gas,136128,automatic,fwd,hatchback,white
12900,2014,nissan,rogue sv,good,4 cylinders,gas,120211,automatic,fwd,SUV,red
4275,2006,jeep,liberty,,6 cylinders,gas,174132,automatic,4wd,SUV,red
3200,2006,chevrolet,trailblazer,good,6 cylinders,gas,178762,automatic,rwd,SUV,grey
10000,2010,toyota,tundra,,,gas,180000,automatic,,,
11995,2007,chevrolet,tahoe,,,gas,170865,automatic,4wd,,silver
3399,2006,buick,lacrosse,,6 cylinders,gas,160218,automatic,fwd,sedan,blue
17995,2017,ram,promaster 1500 cargo van,,,gas,147064,automatic,,,white
3850,2010,volkswagen,jetta,,,gas,178000,automatic,,,
3900,2009,hyundai,elantra,,4 cylinders,gas,162005,automatic,rwd,sedan,white
6000,2004,subaru,baja,excellent,4 cylinders,gas,64000,automatic,4wd,,
15897,2018,chevrolet,malibu,,4 cylinders,gas,65950,other,fwd,sedan,grey
3300,1999,chrysler,300m,,6 cylinders,gas,162026,automatic,fwd,sedan,
26995,2015,ford,f-350,,,diesel,232000,automatic,4wd,,
6950,2011,volkswagen,jetta,excellent,5 cylinders,gas,116000,automatic,fwd,sedan,silver
29995,2013,chevrolet,silverado 2500hd,,,diesel,173000,automatic,4wd,,
22795,2015,mercedes-benz,c-class,,4 cylinders,gas,67870,automatic,,sedan,silver
8995,2005,nissan,altima 3.5 sl,excellent,6 cylinders,gas,53320,automatic,fwd,sedan,brown
1250,1988,ford,bronco ii,fair,6 cylinders,gas,90000,manual,4wd,SUV,black
1500,1988,,1988,good,6 cylinders,gas,89000,manual,4wd,,
48900,2018,chevrolet,silverado 2500 hd ltz,like new,8 cylinders,diesel,43034,automatic,4wd,truck,black
9988,2014,kia,sorento lx,good,4 cylinders,gas,121259,automatic,fwd,SUV,red
24888,2019,ford,f150 regular cab xl,excellent,6 cylinders,gas,8176,automatic,rwd,pickup,white
28490,2020,nissan,murano,,,gas,6154,automatic,fwd,,blue
31968,2020,infiniti,q50,,,gas,27441,automatic,,,white
21334,2021,toyota,corolla,,,gas,7277,automatic,fwd,,white
16888,2008,toyota,fj cruiser 4x4,good,6 cylinders,gas,188096,automatic,4wd,SUV,yellow
19888,2015,mercedes-benz,benz ml 450,excellent,6 cylinders,gas,111261,automatic,4wd,SUV,silver
31888,2015,gmc,1500 yukon slt,good,8 cylinders,gas,109947,automatic,rwd,SUV,white
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,other,,bus,green
10997,2010,ford,explorer sport trac,,,gas,137906,automatic,4wd,,
29800,2019,chevrolet,silverado 1500,,8 cylinders,gas,39000,automatic,4wd,,red
1350,1999,,plymouth voyager,fair,6 cylinders,gas,200000,automatic,,,
50990,2017,mercedes-benz,s-class,,8 cylinders,gas,68643,automatic,,sedan,black
9500,1968,pontiac,firebird,,,gas,175000,automatic,,convertible,red
1300,1969,mercedes-benz,benz,,,gas,12774,automatic,,,
22500,1929,ford,,,,gas,9999999,automatic,,,
3999,2003,infiniti,g35 sedan,,6 cylinders,gas,233830,automatic,rwd,sedan,
5900,2011,ford,fiesta se,,,gas,109000,automatic,,,
2800,2002,pontiac,grand am gt 1,good,6 cylinders,gas,128783,manual,fwd,,red
28995,2017,chevrolet,silverado 2500hd,,,gas,102000,automatic,rwd,,
34950,2016,nissan,titan xd cummins platinum,,,diesel,158159,automatic,4wd,pickup,
99950,2021,chevrolet,corvette stingray spor,,,gas,510,automatic,rwd,coupe,orange
29950,1998,pontiac,firebird trans am ws6,,,gas,16429,automatic,rwd,hatchback,black
39995,1999,dodge,viper rt 10 removable top,,,gas,15897,manual,rwd,convertible,silver
2550,2004,cadillac,srx,,6 cylinders,gas,224105,automatic,rwd,SUV,white
8800,2007,gmc,denali,good,8 cylinders,gas,269000,automatic,4wd,,
1,2012,ford,f250 super duty,,,gas,150000,automatic,4wd,,
7500,1969,,oldsmobile cutlass,,,gas,80000,automatic,,convertible,blue
16990,2019,toyota,corolla,,4 cylinders,gas,44752,automatic,fwd,sedan,
12499,2012,toyota,camry,,4 cylinders,gas,64950,automatic,fwd,sedan,red
13999,2018,kia,soul,,4 cylinders,gas,46848,automatic,fwd,wagon,white
28249,2016,toyota,tundra double cab,,8 cylinders,gas,78000,automatic,,pickup,
7999,2007,toyota,camry,,6 cylinders,gas,67650,automatic,fwd,sedan,custom
8799,2006,acura,tsx,,4 cylinders,gas,89375,automatic,fwd,sedan,white
19990,2017,nissan,pathfinder,,6 cylinders,gas,53950,automatic,,SUV,white
2975,2006,,Suzuki XL-7,,6 cylinders,gas,217353,automatic,rwd,SUV,white
18800,2000,,INTERNATIONAL 4700 DUMP,,8 cylinders,diesel,193348,automatic,rwd,,white
19900,2011,ford,f250 service,,8 cylinders,gas,142268,automatic,4wd,,white
9990,2015,toyota,corolla le,excellent,4 cylinders,gas,125224,automatic,fwd,sedan,
29950,2014,gmc,sierra 1500,excellent,8 cylinders,gas,139029,automatic,4wd,truck,black
9990,2009,lexus,rx350,excellent,6 cylinders,gas,163230,automatic,fwd,SUV,
45950,2014,gmc,sierra 2500hd denali,excellent,8 cylinders,diesel,154289,automatic,4wd,truck,black
17897,2015,lincoln,mkz,,6 cylinders,gas,91067,other,fwd,sedan,white
11500,2008,ford,f-250 super duty xl,good,8 cylinders,diesel,283356,automatic,rwd,pickup,white
7990,2011,bmw,328i,excellent,6 cylinders,gas,123000,automatic,rwd,sedan,
9990,2009,bmw,x5,excellent,6 cylinders,gas,93659,automatic,4wd,SUV,
11990,2011,honda,crv ex-l,excellent,4 cylinders,gas,109000,automatic,fwd,SUV,
15990,2015,chevrolet,camaro,,6 cylinders,gas,53000,automatic,rwd,other,black
14700,2015,honda,cr-v ex-l,excellent,4 cylinders,gas,70672,automatic,4wd,SUV,brown
500,2021,,SPECIAL FINANCE PROGRAM 2020,fair,other,other,1400,other,,bus,green
11295,2014,chevrolet,sonic,,4 cylinders,gas,49019,automatic,fwd,hatchback,red
4350,2015,,smart fortwo,good,3 cylinders,gas,69974,automatic,,coupe,white
2450,2000,infiniti,qx4,good,6 cylinders,gas,246653,automatic,4wd,SUV,silver
12950,2013,lexus,ct200h hybrid,good,4 cylinders,gas,77000,automatic,fwd,,black
30488,2020,infiniti,q50,,,gas,29366,automatic,rwd,,black
17989,2018,toyota,camry,,,gas,120943,automatic,fwd,,silver
22602,2021,toyota,corolla,,,gas,10883,automatic,fwd,,red
12977,2011,lexus,rx,,,gas,140994,automatic,,,
12995,2008,ford,f150 xl,,,gas,93146,automatic,,,green
36995,2012,ford,f250 super duty 4x4,,,gas,41364,automatic,4wd,,silver
31995,2017,ford,f350 super duty,,,gas,129638,automatic,,,white
25995,2015,gmc,sierra 2500hd,,,gas,126690,automatic,,,red
29990,2019,mazda,mx-5 miata grand touring,good,,gas,5247,other,rwd,other,
34995,2015,ford,f250 super duty 4x4,,,gas,84526,automatic,4wd,,white
31995,2012,ford,f350 super duty,,,gas,24692,automatic,,,white
34995,2017,ford,f250 sd xlt,,,gas,138052,automatic,4wd,,white
16590,2016,jeep,renegade sport suv 4d,good,,gas,35835,other,4wd,other,red
16995,2008,chevrolet,express 3500,,,gas,158114,automatic,,,white
25590,2017,jeep,grand cherokee laredo sport,good,6 cylinders,other,31315,other,4wd,SUV,silver
12995,2016,chrysler,200,,,gas,72754,automatic,,,black
27995,2017,nissan,nv2500 hd cargo,,,gas,48769,automatic,,,white
24995,2012,ford,f250 xl super duty,,,gas,52377,automatic,,,grey
28995,2012,ford,econoline commercial,,,gas,93923,automatic,,,white
27995,2012,ford,f350 super duty,,,gas,45822,automatic,,,white
13995,2015,nissan,nv200,,,gas,86580,automatic,,,white
32995,2012,ford,f250 super duty,,,gas,37473,automatic,4wd,,white
4995,2005,ford,freestar ses,,,gas,121724,automatic,,,silver
27995,2012,ford,f250 super duty,,,gas,26896,automatic,,,white
24995,2012,ford,f-250 super duty,,,gas,40023,automatic,,,green
36995,2013,chevrolet,silverado 3500hd,,,gas,58056,automatic,,,white
36995,2017,chevrolet,silverado 2500hd,,,gas,43553,automatic,4wd,,white
39590,2017,chevrolet,camaro ss coupe 2d,good,8 cylinders,gas,10496,other,rwd,coupe,white
26990,2016,ford,f150 regular cab xl pickup,good,6 cylinders,gas,14230,other,,pickup,black
36990,2015,chevrolet,tahoe lt sport utility,good,8 cylinders,other,51677,other,,other,black
5500,2001,ford,e350 van,fair,,diesel,340000,automatic,fwd,van,white
1500,2011,ford,crown victoria,,,gas,123000,automatic,,,
25500,2015,jaguar,xj,,6 cylinders,,71114,automatic,rwd,sedan,black
3500,1995,honda,civic del sol si,good,4 cylinders,gas,215000,manual,fwd,convertible,red
9900,2013,gmc,terrain,,6 cylinders,gas,148285,automatic,fwd,,black
20900,2017,ford,f150,,8 cylinders,gas,147124,automatic,4wd,,white
29900,2016,jeep,wrangler,,6 cylinders,gas,131091,automatic,4wd,,white
7200,2007,toyota,highlander,excellent,4 cylinders,gas,155490,automatic,fwd,SUV,silver
45300,2018,ram,3500 big horn,excellent,6 cylinders,diesel,34125,automatic,4wd,truck,black
3500,2006,ford,f-150,,,gas,246000,automatic,,,
17500,2001,ram,3500,good,6 cylinders,diesel,178000,manual,4wd,truck,white
5500,2010,hyundai,accent,good,4 cylinders,gas,114988,automatic,fwd,hatchback,blue
18950,2009,jeep,wrangler,excellent,,gas,,automatic,4wd,,
6900,2008,ford,escape hev,good,4 cylinders,hybrid,103550,automatic,fwd,SUV,white
10900,2010,honda,accord crosstour exl,good,6 cylinders,gas,97804,automatic,fwd,wagon,grey
8900,2014,fiat,500l lounge,good,4 cylinders,gas,84778,automatic,fwd,hatchback,red
8900,2003,ford,f250 lariat,good,8 cylinders,diesel,247000,automatic,rwd,truck,red
2675,1996,toyota,camry,,4 cylinders,gas,164719,automatic,fwd,sedan,green
29995,2016,ford,f-250,,,diesel,235000,automatic,4wd,,
22995,2012,ford,f-350,,,diesel,210000,automatic,4wd,,
21800,2018,ford,f150,,8 cylinders,gas,143603,automatic,4wd,,silver
